primary_title,start_year,runtime_minutes,genres,vote_average,vote_count,Top Cast,Director,popularity,Budget,Revenue
1 Buck,2017,90.0,"Drama,Thriller",4.8,12,"John Freeman, Katie Ryan, Cassi Colvin, Will Green, River Faught",Fabien Dufils,2.917,0.0,0
1 Chance 2 Dance,2014,89.0,"Drama,Family",5.8,32,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Emily Deahl",Adam Deyoe,2.005,0.0,0
1 Interrogation,2018,,Crime,0.0,1,"Dan Hewitt Owens, Charidy Wronski, Tom Arnold, Danni Tamburro, Frank Parrillo",Dan Hewitt Owens,0.645,0.0,0
1 Mile to You,2017,104.0,"Drama,Romance,Sport",6.6,103,"Graham Rogers, Billy Crudup, Liana Liberato, Stefanie Scott, Tim Roth",Leif Tilden,6.497,0.0,0
1 Night,2016,80.0,"Drama,Romance",6.4,107,"Kyle Allen, Isabelle Fuhrman, Justin Chatwin, Anna Camp, Kelli Berglund",Minhal Baig,5.409,0.0,0
1 Out of 7,2011,90.0,Drama,6.0,3,"Laura Ramsey, Toby Hemingway, Vivica A. Fox, Theresa Russell, Kelly Kruger",York Shackleton,0.75,0.0,0
1/1,2018,85.0,Drama,7.0,2,"Lindsey Shaw, Judd Nelson, Dendrie Taylor, Veronnica Avila, F. Robert McMurray",Jeremy Phillips,2.194,0.0,0
10 Cent Pistol,2014,91.0,"Crime,Thriller",5.3,8,"Jena Malone, JT Alexander, Damon Alexander, Joe Mantegna, Thomas Ian Nicholas",Michael C. Martin,1.144,0.0,0
10 Cloverfield Lane,2016,103.0,"Drama,Horror,Mystery",6.9,4629,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin, Suzanne Cryer",Dan Trachtenberg,17.892,15000000.0,110216998
10 Days in a Madhouse,2015,111.0,Drama,5.4,7,"Caroline Barry, Christopher Lambert, Kelly LeBrock, Julia Chantrey, Alexandra Callas",Timothy Hines,0.955,1200000.0,0
10 Rules for Sleeping Around,2013,94.0,"Comedy,Romance",3.7,34,"Jesse Bradford, Tammin Sursok, Christopher Rodriguez Marquette, Virginia Williams, Bryan Callen",Leslie Greif,5.132,0.0,0
10 Things I Hate About Life,2014,,"Comedy,Romance",5.0,2,,,1.029,,
10 Years,2011,100.0,"Comedy,Drama,Romance",5.8,299,"Channing Tatum, Jenna Dewan, Justin Long, Max Minghella, Oscar Isaac",Jamie Linden,6.724,0.0,203373
10%: What Makes a Hero?,2013,88.0,"Adventure,Biography,Documentary",6.0,1,,Yoav Shamir,0.6,0.0,0
"10,000 Days",2014,91.0,Sci-Fi,2.8,9,"Riley Smith, John Schneider, Kim Myers, Peter Wingfield, Lisa Pelikan",Eric Small,1.672,0.0,0
"10,000 Saints",2015,113.0,"Comedy,Drama,Music",5.9,95,"Ethan Hawke, Asa Butterfield, Emily Mortimer, Julianne Nicholson, Hailee Steinfeld",Shari Springer Berman,6.474,0.0,0
10.0 Earthquake,2014,88.0,"Action,Adventure,Drama",4.1,41,"Heather Sossaman, Henry Ian Cusick, Cameron Richardson, Chasty Ballesteros, Jeffrey Jones",David Gidali,4.277,0.0,0
100 Bloody Acres,2012,91.0,"Comedy,Horror",6.0,55,"Damon Herriman, Angus Sampson, Anna McGahan, John Jarratt, Oliver Ackland",Colin Cairnes,5.328,0.0,6388
100 Days of Loneliness,2018,93.0,"Documentary,Drama",6.4,5,José Díaz,Gerardo Olivares,0.775,0.0,0
100 Degrees Below Zero,2013,89.0,"Action,Adventure,Drama",3.5,46,"John Rhys-Davies, Jeff Fahey, Judit Fekete, Andray Johnson, Sara Malakul Lane",Richard Schenkman,4.376,500000.0,0
100 Ghost Street: The Return of Richard Speck,2012,84.0,"Horror,Mystery,Thriller",4.4,21,"Jackie Moore, Jennifer Robyn Jacobs, Steve Bencich, Nancy Leopardi, Hayley Derryberry",Martin Wichmann Andersen,2.234,150.0,0
100 Men,2017,94.0,Documentary,6.0,2,,Paul Oremland,0.6,0.0,0
100 Streets,2016,93.0,Drama,6.2,91,"Idris Elba, Gemma Arterton, Tom Cullen, Ryan Gage, Kierston Wareing",Jim O'Hanlon,7.317,0.0,0
100 Years,2016,76.0,Documentary,6.0,1,"America Ferrera, Mindy Kaling, Jennifer Lawrence, Meryl Streep, Lena Dunham",Lena Dunham,1.175,0.0,0
100 Yen Love,2014,113.0,"Comedy,Drama",7.4,19,"Sakura Ando, Hirofumi Arai, Toshie Negishi, Miyoko Inagawa, Saori",Masaharu Take,4.25,0.0,0
108,2010,93.0,Documentary,7.3,3,"Miguel Auad Petunia, Renate Costa, Manuel Cuenca, Nancy Baruja",Renate Costa,0.6,0.0,0
10x10,2018,88.0,Thriller,5.2,218,"Luke Evans, Kelly Reilly, Noel Clarke, Olivia Chenery, Jason Maza",Suzi Ewing,13.334,0.0,68260
11 Blocks,2015,78.0,Action,3.3,4,"Craig Henry, Vivek Patel, Bo Martynowska, Patrick Whalen, Vlada",Matthew Bennett,0.972,0.0,0
11-11-11,2011,90.0,"Horror,Mystery,Thriller",4.3,116,"Timothy Gibbs, Michael Landes, Wendy Glenn, Lluís Soler, Brendan Price",Darren Lynn Bousman,5.196,0.0,6963872
11/11/11,2011,81.0,"Comedy,Romance",3.0,21,"Jon Briddell, Erin Coker, Hayden Byerly, Rebecca Light, Scott McKinley",Keith Allan,3.821,0.0,0
11/8/16,2017,104.0,Documentary,6.3,6,,Duane Andersen,0.803,0.0,0
116 Cameras,2017,16.0,Documentary,5.0,1,,Davina Pardo,0.6,0.0,0
11:55,2016,80.0,"Crime,Drama",5.0,8,"Victor Almanzar, Shirley Rumierk, Elizabeth Rodriguez, David Zayas, Julia Stiles",Ari Issler,1.4,0.0,0
12 Counts of Deception,2011,93.0,Horror,4.5,2,Michael Wess Smith,,0.6,0.0,0
12 Dog Days Till Christmas,2014,90.0,Family,5.4,8,"Reginald VelJohnson, Vincent Giovagnoli, Lunden De'Leon, Lilly Nelson, Lexi Giovagnoli",Charlie Vaughn,1.372,0.0,0
12 Dogs of Christmas: Great Puppy Rescue,2012,102.0,"Comedy,Family",4.9,10,"Sean Patrick Flanery, D. B. Sweeney, Danielle C. Ryan, Alli Simpson, Alisha Mullally",Kieth Merrill,2.584,0.0,0
12 Feet Deep,2017,85.0,"Horror,Thriller",5.3,184,"Nora-Jane Noone, Alexandra Park, Diane Farr, Tobin Bell, Dogen Eyeler",Matt Eskandari,9.742,0.0,6158
12 Pound Balls,2017,80.0,Comedy,6.3,3,"Jessica Kozak, Jake Head, Nick Hardcastle, Burke Brown, Kenny Chen",Zachary Madson,1.202,0.0,0
12 Round Gun,2017,92.0,"Drama,Sport",6.0,1,"Sam Upton, Mark Boone Junior",Sam Upton,0.6,0.0,0
12 Rounds 2: Reloaded,2013,95.0,"Action,Adventure,Thriller",5.5,146,"Randy Orton, Brian Markinson, Cindy Busby, Sean Rogerson, Tom Stevens",Roel Reiné,7.606,4000000.0,0
12 Rounds 3: Lockdown,2015,90.0,"Action,Crime,Thriller",5.0,68,"Jonathan Good, Roger Cross, Daniel Cudmore, Lochlyn Munro, Sarah Smyth",Stephen Reynolds,6.925,0.0,0
12 Strong,2018,130.0,"Action,Drama,History",5.6,1312,"Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes",Nicolai Fuglsig,13.183,35000000.0,67450815
12 Years a Slave,2013,134.0,"Biography,Drama,History",7.9,6631,"Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o, Benedict Cumberbatch, Paul Dano",Steve McQueen,16.493,20000000.0,187000000
"12 Years of DFA: Too Old To Be New, Too New To Be Classic",2013,14.0,"Documentary,Music",5.0,1,,Max Joseph,0.6,0.0,0
12-12-12,2013,105.0,Documentary,5.2,3,,,1.4,,
12/12/12,2012,86.0,Horror,2.1,18,"Sara Malakul Lane, Jesus Guevara, Carl Donelson, Steve Hanks, Jon Kondelik",Jared Cohn,4.409,0.0,0
120 Days,2013,79.0,"Documentary,Drama,Family",5.0,1,,Ted Roach,0.632,0.0,0
127 Hours,2010,94.0,"Adventure,Biography,Drama",7.0,4469,"James Franco, Kate Mara, Amber Tamblyn, Clémence Poésy, Lizzy Caplan",Danny Boyle,11.435,18000000.0,35700000
12th & Delaware,2010,81.0,"Documentary,Drama",7.4,9,,Rachel Grady,2.579,0.0,0
13,2010,91.0,"Drama,Thriller",5.7,392,"Sam Riley, Jason Statham, Mickey Rourke, Ray Winstone, 50 Cent",Gela Babluani,8.007,0.0,3317662
13 Assassins,2010,141.0,"Action,Adventure,Drama",7.3,514,"Koji Yakusho, Takayuki Yamada, Yûsuke Iseya, Goro Inagaki, Kazue Fukiishi",Takashi Miike,8.866,6000000.0,17555141
13 Eerie,2013,87.0,"Horror,Sci-Fi",4.6,50,"Katharine Isabelle, Michael Shanks, Brendan Fehr, Brendan Fletcher, Nick Moran",Lowell Dean,7.678,0.0,0
13 Sins,2014,93.0,"Horror,Thriller",6.3,576,"Mark Webber, Devon Graye, Tom Bower, Ron Perlman, Rutina Wesley",Daniel Stamm,10.899,5000000.0,13809
13 Weird Stories,2015,123.0,"Comedy,Fantasy,Horror",6.0,2,"Fernando Mantelli, Pitti Sgarbi, Airton Bratz, Elio Copini, Jessy Taizzy",Petter Baiestorf,0.696,0.0,0
13/13/13,2013,86.0,Horror,3.7,20,"Trae Ireland, Erin Coker, Jody Barton, Nihilist Gelo, Bill Voorhees",James Cullen Bressack,3.966,0.0,0
13th,2016,100.0,"Crime,Documentary,History",8.1,271,"Jelani Cobb, Angela Davis, Henry Louis Gates, Jr., Michelle Alexander, Cory Booker",Ava DuVernay,5.746,0.0,0
13th Sign,2011,98.0,Horror,6.0,1,"Waylon Reavis, Jeff Hatrix, Katie Oliver, Ray MacDonald, Bill Lowery",Michael Donald Bryant,0.84,154000.0,0
14 Blades,2010,114.0,"Action,History,Thriller",6.6,87,"Donnie Yen, Zhao Wei, Wu Zun, Sammo Hung Kam-Bo, Kate Tsui Tsz-Shan",Daniel Lee,7.948,20000000.0,0
14 Cameras,2018,90.0,"Crime,Drama,Horror",5.5,27,"Zach Dulin, Kodi Lane, Neville Archambault, Chelsea Edmundson, Lora Martinez-Cunningham",Seth Fuller,6.153,0.0,0
14 Minutes from Earth,2016,84.0,Documentary,6.0,2,,Trey Nelson,0.6,0.0,0
14+,2015,102.0,"Drama,Romance",7.2,35,"Gleb Kalyuzhny, Ulyana Vaskovich, Olga Ozollapinya, Dmitriy Blokhin, Irina Frolova",Andrey Zaytsev,4.598,0.0,173616
15 Septembers Later,2016,,Documentary,5.0,1,"George W. Bush, Dick Cheney, Donald Rumsfeld, Rudolph Giuliani",,0.6,0.0,0
15 Till Midnight,2010,97.0,"Drama,Mystery,Sci-Fi",2.6,4,"Brandon Slagle, Dee Martin, Devanny Pinn, Andrew Roth, Andrea Chen",Wolfgang Meyer,1.176,200000.0,0
16 Acres,2012,95.0,"Documentary,History,News",7.5,4,"Michael Bloomberg, George Pataki, Chris Ward, Larry Silverstein, Daniel Libeskind",Richard Hankin,0.6,0.0,0
16 and Missing,2015,87.0,Thriller,5.0,10,"Ashley Scott, Mark Hapka, David Starzyk, Jay Pickett, Caia Coley",Michael Feifer,1.728,0.0,0
16-Love,2012,88.0,"Comedy,Family,Romance",4.7,12,"Lindsey Shaw, Chandler Massey, Susie Abromeit,  Lindsey Black, Mark Elias",Adam Lipsius,1.4,0.0,0
17 Girls,2011,86.0,Drama,5.5,199,"Louise Grinberg, Juliette Darche, Roxane Duran, Esther Garrel, Yara Pilartz",Delphine Coulin,6.701,4141459.0,201607
17 Miracles,2011,113.0,"Adventure,History",5.3,12,"Jasen Wade, Emily Wadley, Jason Celaya, Natalie Blackman, Travis Eberhard",T.C. Christensen,1.972,0.0,0
17 Seconds,2018,85.0,"Documentary,Sport",5.3,2,"Bryan Bickell, Dave Bolland, Brandon Bollig, Sheldon Brookbank, Corey Crawford",Patrick Dahl,0.6,0.0,0
18 Years Old and Rising,2011,92.0,"Comedy,Romance",5.3,33,"Catherine Chevallier, Audrey Bastien, Lou de Laâge, Pierre Niney, Ali Marhyar",Frédéric Louf,4.391,0.0,0
180,2011,121.0,"Drama,Romance",6.8,3,"Ray Comfort, Joseph Goebbels, Rudolf Heß, Adolf Hitler",Ray Comfort,0.6,0.0,0
1804: The Hidden History of Haiti,2017,115.0,Documentary,9.2,6,"Wyclef Jean, Bayyinah Bello, Tariq Nasheed, Èzili Dantò, Kaba Kamene",Tariq Nasheed,0.6,0.0,0
180º,2010,105.0,"Comedy,Drama",4.0,1,"Manuel Garcia-Rulfo, Iliana Fox, Rodrigo Cachero, Elizabeth Valdez, Eduardo Blanco",Fernando Kalife,0.624,0.0,0
186 Dollars to Freedom,2012,101.0,"Action,Drama",4.7,7,"John Robinson, Michael DeLorenzo, Alex Meraz, Johnny Lewis, Grant Bowler",Camilo Vila,0.926,0.0,0
1911,2011,121.0,"Action,Adventure,Drama",5.5,62,"Jackie Chan, Li Bingbing, Joan Chen, Jaycee Chan, Jiang Wu",Zhang Li,7.437,30000000.0,3807134
1915,2015,82.0,Drama,5.5,2,"Simon Abkarian, Angela Sarafyan, Sam Page, Nikolai Kinski, Jim Piddock",Garin Hovannisian,0.946,0.0,0
1922,2017,102.0,"Crime,Drama,Horror",5.9,1245,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Neal McDonough",Zak Hilditch,9.467,0.0,0
1945,2017,91.0,Drama,7.1,20,"Péter Rudolf, Bence Tasnádi, Tamás Szabó Kimmel, Dóra Sztarenki, Ági Szirtes",Ferenc Török,2.053,1669597.0,0
1971,2017,,,7.8,5,"Bonnie Raines, John Raines, Bob Williamson, Keith Forsyth, Bill Davidon",Johanna Hamilton,1.389,0.0,0
1982,2013,90.0,Drama,7.5,2,"Bokeem Woodbine, Sharon Leal, Wayne Brady, Quinton Aaron, Hill Harper",Tommy Oliver,0.6,1000000.0,0
1984 Revolution,2011,62.0,,10.0,2,"David Icke, Michael Tsarion, Jim Marrs, Greg Nikolettos, Philip Gardiner",Chris Turner,0.6,0.0,0
1985,2016,114.0,"Adventure,Comedy,Drama",5.0,1,"Robert Sella, Lindsay Pulsipher, Allyn Carrell, Chris Gardner",Yen Tan,1.384,0.0,0
1987,2014,105.0,"Biography,Comedy,Drama",6.9,14,"Jean-Carl Boucher, Claudio Colangelo, Sandrine Bisson, Laurent-Christophe De Ruelle, Pier-Luc Funk",Ricardo Trogi,2.106,4000000.0,0
1st Strike,2016,99.0,Drama,5.0,3,"Jocelyn Cruz, Billy Gallo, Danny Trejo, Alicia Harris, Jizelle Wiggett",David Llauger Meiselman,0.696,0.0,0
2 Days in New York,2012,96.0,"Comedy,Drama,Romance",5.6,149,"Julie Delpy, Chris Rock, Albert Delpy, Kate Burton, Dylan Baker",Julie Delpy,7.385,8000000.0,1653792
2 Die For,2018,,Horror,5.0,1,"Sophia Cacciola, Michael J. Epstein, Daiane Azura, Isabele Barnard, Jackson Batchelor",Aviv Rubinstien,0.66,0.0,0
2 Guns,2013,109.0,"Action,Comedy,Crime",6.5,2368,"Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos, Bill Paxton",Baltasar Kormákur,14.8,61000000.0,131940411
2 Jacks,2012,90.0,"Comedy,Drama",5.3,7,"Danny Huston, Sienna Miller, Jack Huston, Richard Portnow, Billy Zane",Bernard Rose,3.534,0.0,0
2 Jennifer,2016,84.0,Horror,3.5,7,"Hunter Johnson, David Coupe, Lara Jean Sullivan, Felissa Rose, Erin Marie Hogan",Hunter Johnson,2.275,0.0,0
2 States,2014,149.0,"Comedy,Drama,Romance",6.7,73,"Alia Bhatt, Arjun Kapoor, Amrita Singh, Revathi, Ronit Roy",Abhishek Varman,5.423,4587786.0,22414611
2 Years of Love,2017,88.0,Romance,2.0,1,"Kayla Ewell, Ryan Merriman, Sarah Minnich, Catharine E. Jones, Catherine Haun",Thadd Turner,0.633,0.0,0
2 to Tangle,2013,108.0,Drama,4.5,2,"Kassy Collins, Clay Doss, Jenna Epkey, Michael Holmes, Caleb Johnson",Caleb Johnson,0.6,0.0,0
2.0,2018,148.0,"Action,Sci-Fi",6.3,37,"Rajinikanth, Akshay Kumar, Amy Jackson, Sudhanshu Pandey, Adil Hussain",Shankar,8.211,77000000.0,114629169
20 Feet from Stardom,2013,91.0,"Documentary,Music",7.4,127,"Darlene Love, Lisa Fischer, Merry Clayton, Judith Hill, Claudia Lennear",Morgan Neville,7.866,1000000.0,5892466
20 Ft Below: The Darkness Descending,2014,91.0,Thriller,2.4,11,"Danny Trejo, Kinga Philipps, Louis Mandylor, Melina Perez, John Hennigan",Marc Clebanoff,3.776,0.0,0
20 Moves,2014,90.0,"Biography,Documentary,History",5.0,1,"Steven Adler, Drake Bell, Nantel Bergeron, Josh Chalom, DJ Quik",Harvey Glazer,1.177,0.0,0
"20,000 Days on Earth",2014,97.0,"Documentary,Drama,Music",7.2,101,"Nick Cave, Warren Ellis, Blixa Bargeld, Susie Bick, Arthur Cave",Iain Forsyth,6.125,0.0,0
200 Degrees,2017,91.0,Thriller,4.9,9,"Eric Balfour, LaDon Drummond, Joe Grisaffi, Kristin Cochell, Chris Palin",Giorgio Serafini,1.193,0.0,0
2001 Maniacs: Field of Screams,2010,84.0,"Comedy,Horror",4.0,31,"Bill Moseley, Lin Shaye, Christa Campbell, Nivek Ogre, Andrea Leon",Tim Sullivan,5.364,500000.0,0
2012: Time for Change,2010,85.0,"Animation,Documentary,News",7.0,2,"Daniel Pinchbeck, Maude Barlow, Ariane Burgess, Gerald Celente, Policarpo Chaj",Joao G. Amorim,1.4,0.0,0
2016: Obama's America,2012,87.0,Documentary,4.4,28,"Dinesh D'Souza, Barack Obama, Joe Biden, Cait Brasel, Gene Burris Jr.",Dinesh D'Souza,1.914,2500000.0,33449086
2036 Origin Unknown,2018,94.0,"Action,Sci-Fi,Thriller",4.9,80,"Katee Sackhoff, Ray Fearon, Julie Cox, Steven Cree, Noush Skaugen",Hasraf Dulull,8.644,0.0,0
20th Century Women,2016,119.0,"Comedy,Drama",7.4,504,"Annette Bening, Lucas Jade Zumann, Greta Gerwig, Elle Fanning, Billy Crudup",Mike Mills,10.413,7000000.0,5664764
21 & Over,2013,93.0,Comedy,5.7,1020,"Skylar Astin, Justin Chon, Miles Teller, Sarah Wright, Jonathan Keltz",Jon Lucas,9.749,13000000.0,48065672
21 Brothers,2011,96.0,"Drama,History,War",5.0,1,"Steve VanVolkingburgh, Steven Spencer, Aaron Miedema, Tom Sinclair, Zorba Dravillas",Michael McGuire,0.6,0.0,0
21 Days,2014,89.0,"Horror,Thriller",4.6,9,"Max Hambleton, Whitney Rose Pynn, Mickey River, Eduardo Roman, Anna Maganini",Kathleen Behun,1.579,0.0,0
21 Days Under the Sky,2016,70.0,Documentary,6.7,7,"Troy Critchlow, Gentry Dayton, Ryan Grossman, Josh Kurpius, Tom Fugle",Michael Schmidt,1.097,0.0,0
21 Jump Street,2012,109.0,"Action,Comedy,Crime",6.8,6527,"Jonah Hill, Channing Tatum, Brie Larson, Dave Franco, Rob Riggle",Phil Lord,14.836,42000000.0,201585328
21 Years: Richard Linklater,2014,78.0,"Biography,Documentary",6.6,14,"Jack Black, Louis Black, Julie Delpy, Zac Efron, Ethan Hawke",Michael Dunaway,1.889,0.0,0
2101,2014,56.0,"Action,Adventure,Sci-Fi",1.5,5,"Karan Beaty, Revon Yousif, Don Joseph Chase, Joseph A. Davis, Ben Furney",Kyle Misak,0.6,0.0,0
211,2018,86.0,"Action,Crime,Drama",5.2,134,"Nicolas Cage, Dwayne Cameron, Michael Rainey Jr., Ori Pfeffer, Sean James",York Alec Shackleton,13.701,0.0,1052222
2112,2012,46.0,Sport,4.3,2,"Mathieu Crepel, Frederik Kalbermatten, Gulli Gudmundsson",,1.4,0.0,0
22 Bullets,2010,117.0,"Action,Crime,Drama",6.5,508,"Jean Reno, Kad Merad, Marina Foïs, Jean-Pierre Darroussin, JoeyStarr",Richard Berry,8.697,24000000.0,0
22 Chaser,2018,86.0,"Crime,Drama",6.8,6,"Brian J. Smith, Raoul Max Trujillo, Kaniehtiio Horn, Aaron Ashmore, Thom Allison",Rafal Sokolowski,7.707,0.0,0
22 July,2018,143.0,"Crime,Drama,History",7.2,450,"Jonas Strand Gravli, Anders Danielsen Lie, Jon Øigarden, Seda Witt, Ola G. Furuseth",Paul Greengrass,9.247,20000000.0,0
22 Jump Street,2014,112.0,"Action,Comedy,Crime",6.9,5167,"Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell, Amber Stevens West",Phil Lord,11.176,50000000.0,331333876
23 Blast,2014,98.0,"Drama,Family,Sport",6.5,31,"Mark Hapka, Bram Hoover, Stephen Lang, Max Adler, Alexa PenaVega",Dylan Baker,2.213,0.0,0
23 Minutes to Sunrise,2012,79.0,"Drama,Fantasy",5.9,8,"Eric Roberts, Nia Peeples, Bob Zany, Jilanne Klaus, Tom Sandoval",Jay Kanzler,0.84,0.0,0
2307: Winter's Dream,2016,101.0,Sci-Fi,2.6,16,"Paul Sidhu, Branden Coles, Arielle Holmes, Kelcey Watson, Anne-Solenne Hatte",Joey Curtis,2.334,0.0,0
24 Exposures,2013,77.0,"Crime,Drama,Thriller",4.0,15,"Adam Wingard, Simon Barrett, Caroline White, Sophia Takal, Helen Rogers",Joe Swanberg,2.623,0.0,0
24 Hour Comic,2017,71.0,Documentary,6.0,1,,Milan Erceg,0.6,0.0,0
24 Hour Love,2013,98.0,Drama,2.3,2,"Tatyana Ali, Darius McCrary, Keith D. Robinson, Malinda Williams, Lynn Whitfield",Fred Thomas Jr.,0.666,0.0,0
24 Hours to Live,2017,93.0,"Action,Sci-Fi,Thriller",5.6,289,"Ethan Hawke, Qing Xu, Paul Anderson, Rutger Hauer, Tyrone Keogh",Brian Smrz,10.478,0.0,5800000
24 Weeks,2016,103.0,Drama,6.9,17,"Julia Jentsch, Bjarne Mädel, Johanna Gastdorf, Emilia Pieske, Maria Dragus",Anne Zohra Berrached,2.079,0.0,0
247°F,2011,88.0,"Horror,Thriller",5.2,88,"Scout Taylor-Compton, Travis Van Winkle, Michael Copon, Christina Ulloa, Tyler Mane",Levan Bakhia,6.918,650000.0,0
25 Hill,2011,108.0,Drama,6.4,10,"Corbin Bernsen, Nathan Gamble, Maureen Flannigan, Rolonda Watts, Bailee Madison",Corbin Bernsen,1.569,1000000.0,0
25 to Life,2012,87.0,Documentary,6.0,2,,Mike Brown,0.704,0.0,0
27: Gone Too Soon,2018,90.0,"Documentary,Music",6.2,20,"Steve Blame, Barney Hoskyns, Chris Salewicz, Dan Gillespie Sells, Dylan Jones",Simon Napier-Bell,0.849,0.0,0
28 Hotel Rooms,2012,82.0,"Drama,Romance",6.0,32,"Chris Messina, Marin Ireland, Robert Deamer, Anne H. Wilson, Yaitza Rivera",Matt Ross,3.024,0.0,16017
29 to Life,2018,100.0,"Comedy,Drama",1.0,1,"Hayley Ambriz, Murphy Patrick Martin, Diana Solis, Kaden Cole",Alex Magaña,1.294,0.0,0
2: Voodoo Academy,2012,75.0,Horror,4.0,1,"Michelle Bauer, Richie Nuzzolese, Shawn McCormick, Brandon Schinaman, Alex Fox",David DeCoteau,0.646,0.0,0
2:22,2017,98.0,Thriller,5.8,809,"Michiel Huisman, Teresa Palmer, Sam Reid, John Waters, Kerry Armstrong",Paul Currie,11.316,0.0,3945729
2CELLOS (Sulic & Hauser) Live at Arena Zagreb,2013,,Music,0.0,1,"Luka Šulić, Stjepan Hauser",Kristijan Burlovic,0.6,0.0,0
